month,z_cape,z_corpdebt,z_nfci,z_vix,z_gpr,z_ndqsp,s_vix_adj,s_gpr_adj,l_nfci_adj,V,L,S,C,BIS
1988-05,1.3581000302751742,-0.2417180604926743,-0.26476359230307206,NA,-0.04895808667217567,-0.36714464229193977,NA,0.04895808667217567,-0.26476359230307206,1.3581000302751742,-0.25324082639787315,0.04895808667217567,-0.36714464229193977,0.19666816206438426
1988-06,1.6033579724870013,-0.23637185658103768,-0.22156232305905738,NA,-1.5896987084418583,-0.5634240169162811,NA,1.5896987084418583,-0.22156232305905738,1.6033579724870013,-0.22896708982004754,1.5896987084418583,-0.5634240169162811,0.6001663935481327
1988-07,1.5138551108457827,-0.4876119364600586,-0.198328300723742,NA,-1.312301363556104,-0.38046604506398407,NA,1.312301363556104,-0.198328300723742,1.5138551108457827,-0.3429701185919003,1.312301363556104,-0.38046604506398407,0.5256800776865007
1988-08,1.353959178969971,-0.4815840960363846,-0.22457296085580924,NA,-1.2363559575813974,-0.5008854281829512,NA,1.2363559575813974,-0.22457296085580924,1.353959178969971,-0.3530785284460969,1.2363559575813974,-0.5008854281829512,0.43408779498058003
1988-09,1.3772274829168019,-0.4755815598027303,-0.285251048912289,NA,-1.724257909382962,-0.6089104994786231,NA,1.724257909382962,-0.285251048912289,1.3772274829168019,-0.3804163043575096,1.724257909382962,-0.6089104994786231,0.5280396471159078
1988-10,1.5074629329763538,-0.41405888761053977,-0.3398676278889376,NA,-1.728183736089655,-0.8960429958015577,NA,1.728183736089655,-0.3398676278889376,1.5074629329763538,-0.3769632577497387,1.728183736089655,-0.8960429958015577,0.4906601038786781
1988-11,1.3528574146707124,-0.41297774943897014,-0.36483168627467016,NA,-1.9016497290733614,-1.0092539010182429,NA,1.9016497290733614,-0.36483168627467016,1.3528574146707124,-0.3889047178568201,1.9016497290733614,-1.0092539010182429,0.46408713121725265
1988-12,1.415417080178419,-0.41189774982902017,-0.36664931082822594,NA,-0.6556194851782995,-1.158091871579267,NA,0.6556194851782995,-0.36664931082822594,1.415417080178419,-0.38927353032862305,0.6556194851782995,-1.158091871579267,0.13091779086220712
1989-01,1.5234218144372726,-0.41412618461213907,-0.3634871343662241,NA,-0.7107657239855197,-1.142199330561964,NA,0.7107657239855197,-0.3634871343662241,1.5234218144372726,-0.3888066594891816,0.7107657239855197,-1.142199330561964,0.1757953870929117
1989-02,1.6227257898086482,-0.4117233380134499,-0.38037460132772755,NA,-0.5659164149736761,-1.0819503542717352,NA,0.5659164149736761,-0.38037460132772755,1.6227257898086482,-0.3960489696705887,0.5659164149736761,-1.0819503542717352,0.17766072021000007
1989-03,1.5323630146003708,-0.40932546510086393,-0.4151572201676931,NA,-0.7796159724846559,-1.053870387910576,NA,0.7796159724846559,-0.4151572201676931,1.5323630146003708,-0.4122413426342785,0.7796159724846559,-1.053870387910576,0.21146681413504304
1989-04,1.6323442298800517,-0.4695326498146271,-0.4288848312393575,NA,-1.0026323071263696,-1.0681468506162148,NA,1.0026323071263696,-0.4288848312393575,1.6323442298800517,-0.44920874052699233,1.0026323071263696,-1.0681468506162148,0.2794052364658036
1989-05,1.763096646972599,-0.4667801569185193,-0.4163447073705585,NA,0.17929987235211764,-1.0087578348121848,NA,-0.17929987235211764,-0.4163447073705585,1.763096646972599,-0.44156243214453894,-0.17929987235211764,-1.0087578348121848,0.03336912691593941
1989-06,1.8697294806597085,-0.46403485251151483,-0.3941054733255947,NA,-0.6593741893228482,-1.063495386876369,NA,0.6593741893228482,-0.3941054733255947,1.8697294806597085,-0.42907016291855476,0.6593741893228482,-1.063495386876369,0.2591345300469083
1989-07,1.9437346838335499,-0.7300025677028021,-0.3720028908975856,NA,-0.9226837852022576,-1.3514866785755828,NA,0.9226837852022576,-0.3720028908975856,1.9437346838335499,-0.5510027293001939,0.9226837852022576,-1.3514866785755828,0.24098226529000766
1989-08,2.1204370229799165,-0.7208733333346816,-0.34027921539742245,NA,0.5215857678881667,-1.4497022987672934,NA,-0.5215857678881667,-0.34027921539742245,2.1204370229799165,-0.530576274366052,-0.5215857678881667,-1.4497022987672934,-0.09535682951039892
1989-09,2.0571416562834415,-0.7118255500281728,-0.2619129692037246,NA,-0.8768989542474139,-1.3000508564843651,NA,0.8768989542474139,-0.2619129692037246,2.0571416562834415,-0.48686925961594874,0.8768989542474139,-1.3000508564843651,0.28678012360763544
1989-10,1.9831378330724327,-1.229110237918076,-0.13588557922890604,NA,-1.7697003181771884,-1.2952616961477892,NA,1.7697003181771884,-0.13588557922890604,1.9831378330724327,-0.682497908573491,1.7697003181771884,-1.2952616961477892,0.44376963663208524
1989-11,1.8148159367608172,-1.21250933271112,-0.006244071446573077,NA,-0.3972280453140687,-1.4150825528384332,NA,0.3972280453140687,-0.006244071446573077,1.8148159367608172,-0.6093767020788465,0.3972280453140687,-1.4150825528384332,0.046896181789401525
1989-12,1.8956728470520805,-1.1962521062353686,0.11632201548313882,NA,0.7592772131630049,-1.7707952211543803,NA,-0.7592772131630049,0.11632201548313882,1.8956728470520805,-0.5399650453761149,-0.7592772131630049,-1.7707952211543803,-0.29359115816035486
1990-01,1.674721846471306,-1.3255667511969207,0.163386034899009,NA,-1.0622565066105012,-1.7157023977609707,NA,1.0622565066105012,0.163386034899009,1.674721846471306,-0.5810903581489558,1.0622565066105012,-1.7157023977609707,0.11004639929297022
1990-02,1.4810347138632665,-1.3070462977434711,0.09617733548414839,NA,-1.2793907148668373,-1.749205829773773,NA,1.2793907148668373,0.09617733548414839,1.4810347138632665,-0.6054344811296614,1.2793907148668373,-1.749205829773773,0.10144627945666734
1990-03,1.5475528607839808,-1.288954577337494,-0.0860522475699823,NA,-1.7947587253020807,-1.7073225041102944,NA,1.7947587253020807,-0.0860522475699823,1.5475528607839808,-0.6875034124537381,1.7947587253020807,-1.7073225041102944,0.2368714173805072
1990-04,1.512910515695926,-1.7233296170446466,-0.2725188114751659,NA,-0.9666576088043011,-1.8433237918472731,NA,0.9666576088043011,-0.2725188114751659,1.512910515695926,-0.9979242142599063,0.9666576088043011,-1.8433237918472731,-0.0904199704017381
1990-05,1.6528090250592171,-1.7104834695839295,-0.30281758940377673,NA,-0.6830675648973041,-1.858573369919597,NA,0.6830675648973041,-0.30281758940377673,1.6528090250592171,-1.006650529493853,0.6830675648973041,-1.858573369919597,-0.1323368273642322
1990-06,1.7424533676668639,-1.697844809626396,-0.09537205245651587,NA,-1.0566788285514859,-1.7009038326944268,NA,1.0566788285514859,-0.09537205245651587,1.7424533676668639,-0.8966084310414559,1.0566788285514859,-1.7009038326944268,0.05040498312061675
1990-07,1.6852600977417393,-1.7355117380763354,0.2629627809755273,NA,-0.6942839331393714,-1.7974405587934112,NA,0.6942839331393714,0.2629627809755273,1.6852600977417393,-0.7362744785504041,0.6942839331393714,-1.7974405587934112,-0.03854275161567616
1990-08,1.201762206715956,-1.7344046703019578,0.5480814626888604,NA,6.005634127709636,-2.2316517402694274,NA,-6.005634127709636,0.5480814626888604,1.201762206715956,-0.5931616038065487,-6.005634127709636,-2.2316517402694274,-1.9071713162674142
